problem_id,0,1,2,3,4,5
1700A,0.0,0.0,0.0,0.0,0.0,0.0
1701A,1.0,0.0,0.0,0.0,0.0,0.0
1701B,0.0,0.0,0.0,0.0,0.0,0.0
1702A,1.0,1.0,0.0,0.0,0.0,0.0
1702B,1.0,0.0,0.0,0.0,0.0,0.0
1703A,1.0,0.0,0.0,0.0,0.0,0.0
1703B,1.0,0.0,0.0,0.0,0.0,0.0
1703C,0.0,0.0,0.0,0.0,0.0,0.0
1704A,0.0,0.0,0.0,0.0,0.0,0.0
1705A,0.0,0.0,0.0,0.0,0.0,0.0
1706A,0.0,0.0,0.0,0.0,0.0,0.0
1708A,0.0,0.0,0.0,0.0,0.0,0.0
1709A,0.0,0.0,0.0,0.0,0.0,0.0
1711A,0.0,0.0,0.0,0.0,0.0,0.0
1712A,0.0,0.0,0.0,0.0,0.0,0.0
1712B,0.0,0.0,0.0,0.0,0.0,0.0
1713A,0.0,0.0,0.0,0.0,0.0,0.0
1714B,0.0,0.0,0.0,0.0,0.0,0.0
1714C,0.0,0.0,0.0,0.0,0.0,0.0
1715A,0.0,0.0,0.0,0.0,0.0,0.0
1716A,0.0,0.0,0.0,0.0,0.0,0.0
1716B,0.0,0.0,0.0,0.0,0.0,0.0
1717A,0.0,0.0,0.0,0.0,0.0,0.0
1719A,0.0,0.0,0.0,0.0,0.0,0.0
1719B,0.0,0.0,0.0,0.0,0.0,0.0
1720B,0.0,0.0,0.0,0.0,0.0,0.0
1721A,0.0,0.0,0.0,0.0,0.0,0.0
1722A,0.0,0.0,0.0,0.0,0.0,0.0
1722B,0.0,0.0,0.0,0.0,0.0,0.0
1722C,0.0,0.0,0.0,0.0,0.0,0.0
1725A,0.0,0.0,0.0,0.0,0.0,0.0
1728A,0.0,0.0,0.0,0.0,0.0,0.0
1728B,0.0,0.0,0.0,0.0,0.0,0.0
1729A,0.0,0.0,0.0,0.0,0.0,0.0
1729B,0.0,0.0,0.0,0.0,0.0,0.0
1730A,1.0,0.0,0.0,0.0,0.0,0.0
1731A,0.0,0.0,0.0,0.0,0.0,0.0
1733A,0.0,1.0,0.0,0.0,0.0,0.0
1734A,0.0,0.0,0.0,0.0,0.0,0.0
1734B,0.0,0.0,0.0,0.0,0.0,0.0
1735A,0.0,1.0,1.0,1.0,0.0,0.0
1736A,0.0,0.0,0.0,0.0,0.0,0.0
1738A,0.0,0.0,0.0,0.0,0.0,0.0
1739A,0.0,0.0,0.0,0.0,0.0,0.0
1740A,0.0,0.0,0.0,0.0,0.0,0.0
1740B,0.0,0.0,0.0,0.0,0.0,0.0
1741A,0.0,0.0,0.0,0.0,0.0,0.0
1741B,0.0,0.0,0.0,0.0,0.0,0.0
1742A,1.0,0.0,0.0,0.0,0.0,0.0
1742B,1.0,0.0,0.0,0.0,0.0,0.0
1743A,1.0,0.0,0.0,0.0,0.0,0.0
1743B,0.0,0.0,0.0,0.0,0.0,0.0
1744A,0.0,0.0,0.0,0.0,0.0,0.0
1744B,0.0,0.0,0.0,0.0,0.0,0.0
1746A,0.0,0.0,0.0,0.0,0.0,0.0
1746B,0.0,0.0,0.0,0.0,0.0,0.0
1747A,0.0,0.0,0.0,0.0,0.0,0.0
1748A,0.0,0.0,0.0,0.0,0.0,0.0
1749A,0.0,0.0,0.0,0.0,0.0,0.0
1750A,0.0,0.0,0.0,0.0,0.0,0.0
1750B,0.0,0.0,0.0,0.0,0.0,0.0
1754A,0.0,0.0,0.0,0.0,0.0,0.0
1754B,0.0,0.0,0.0,0.0,0.0,0.0
1758A,0.0,0.0,0.0,0.0,0.0,0.0
1759A,0.0,0.0,0.0,0.0,0.0,0.0
1759B,0.0,0.0,0.0,0.0,0.0,0.0
1760A,0.0,0.0,0.0,0.0,0.0,0.0
1760B,1.0,1.0,0.0,0.0,0.0,0.0
1760C,0.0,0.0,0.0,0.0,0.0,0.0
1761A,0.0,0.0,0.0,0.0,0.0,0.0
1762A,1.0,1.0,1.0,0.0,0.0,0.0
1763A,0.0,0.0,0.0,0.0,0.0,0.0
1764A,0.0,0.0,0.0,0.0,0.0,0.0
1765B,0.0,0.0,0.0,0.0,0.0,0.0
1766A,0.0,0.0,0.0,0.0,0.0,0.0
1767A,0.0,0.0,0.0,0.0,0.0,0.0
1767B,0.0,0.0,0.0,0.0,0.0,0.0
1768A,1.0,0.0,0.0,0.0,0.0,0.0
1772A,0.0,1.0,0.0,0.0,0.0,0.0
1772B,0.0,0.0,0.0,0.0,0.0,0.0
1774A,0.0,0.0,0.0,0.0,0.0,0.0
1775A1,0.0,0.0,0.0,0.0,0.0,0.0
1776A,0.0,0.0,0.0,0.0,0.0,0.0
1777A,0.0,0.0,0.0,0.0,0.0,0.0
1778A,0.0,0.0,0.0,0.0,0.0,0.0
1779A,1.0,0.0,0.0,0.0,0.0,0.0
1780A,0.0,0.0,0.0,0.0,0.0,0.0
1781A,0.0,0.0,0.0,0.0,0.0,0.0
1783A,0.0,0.0,0.0,0.0,0.0,0.0
1786A1,0.0,0.0,0.0,0.0,0.0,0.0
1786A2,0.0,0.0,0.0,0.0,0.0,0.0
1787A,0.0,0.0,0.0,0.0,0.0,0.0
1788A,0.0,0.0,0.0,0.0,0.0,0.0
1789A,0.0,0.0,0.0,0.0,0.0,0.0
1789B,0.0,0.0,0.0,0.0,0.0,0.0
1790A,1.0,0.0,0.0,0.0,0.0,0.0
1790B,0.0,0.0,0.0,0.0,0.0,0.0
1791A,1.0,0.0,0.0,0.0,0.0,0.0
1791B,0.0,0.0,0.0,0.0,0.0,0.0
1791C,0.0,0.0,0.0,0.0,0.0,0.0
1792A,0.0,0.0,0.0,0.0,0.0,0.0
1793A,0.0,0.0,0.0,0.0,0.0,0.0
1794A,0.0,1.0,0.0,0.0,0.0,0.0
1795A,0.0,0.0,0.0,0.0,0.0,0.0
1796A,1.0,0.0,0.0,0.0,0.0,0.0
1797A,0.0,0.0,0.0,0.0,0.0,0.0
1798A,0.0,0.0,0.0,0.0,0.0,0.0
1799A,0.0,0.0,0.0,0.0,0.0,0.0
1800A,1.0,0.0,0.0,0.0,0.0,0.0
1802A,0.0,0.0,0.0,0.0,0.0,0.0
1804A,0.0,0.0,0.0,0.0,0.0,0.0
1805A,0.0,0.0,0.0,0.0,0.0,0.0
1805B,0.0,0.0,0.0,0.0,0.0,0.0
1806A,0.0,0.0,0.0,0.0,0.0,0.0
1807A,1.0,0.0,0.0,0.0,0.0,0.0
1807B,1.0,0.0,0.0,0.0,0.0,0.0
1807C,1.0,0.0,0.0,0.0,0.0,0.0
1809A,0.0,0.0,0.0,0.0,0.0,0.0
1810A,0.0,0.0,0.0,0.0,0.0,0.0
1810B,0.0,0.0,0.0,0.0,0.0,0.0
1811A,0.0,0.0,0.0,0.0,0.0,0.0
1814A,1.0,0.0,0.0,0.0,0.0,0.0
1816A,0.0,0.0,0.0,0.0,0.0,0.0
1818A,0.0,0.0,0.0,0.0,0.0,0.0
1820A,0.0,0.0,0.0,0.0,0.0,0.0
1821A,0.0,0.0,0.0,0.0,0.0,0.0
1822A,0.0,0.0,0.0,0.0,0.0,0.0
1822B,0.0,0.0,0.0,0.0,0.0,0.0
1822C,0.0,0.0,0.0,0.0,0.0,0.0
1823A,0.0,0.0,0.0,0.0,0.0,0.0
1825A,1.0,0.0,0.0,0.0,0.0,0.0
1828A,0.0,0.0,0.0,0.0,0.0,0.0
1829A,1.0,0.0,0.0,0.0,0.0,0.0
1829B,1.0,0.0,0.0,0.0,0.0,0.0
1829C,0.0,0.0,0.0,0.0,0.0,0.0
1831A,0.0,0.0,0.0,0.0,0.0,0.0
1832A,0.0,0.0,0.0,0.0,0.0,0.0
1833A,1.0,0.0,0.0,0.0,0.0,0.0
1833C,0.0,0.0,0.0,0.0,0.0,0.0
1834A,0.0,0.0,0.0,0.0,0.0,0.0
1836A,0.0,0.0,0.0,0.0,0.0,0.0
1837A,0.0,0.0,0.0,0.0,0.0,0.0
1838A,0.0,0.0,0.0,0.0,0.0,0.0
1839A,0.0,0.0,0.0,0.0,0.0,0.0
1840A,0.0,0.0,0.0,0.0,0.0,0.0
1841A,1.0,0.0,0.0,0.0,0.0,0.0
1842A,0.0,0.0,0.0,0.0,0.0,0.0
1843A,0.0,0.0,1.0,0.0,0.0,0.0
1843B,0.0,0.0,0.0,0.0,0.0,0.0
1843C,0.0,0.0,0.0,0.0,0.0,0.0
1844A,0.0,0.0,0.0,0.0,0.0,0.0
1845A,0.0,0.0,0.0,0.0,0.0,0.0
1846A,0.0,0.0,0.0,0.0,0.0,0.0
1846B,1.0,0.0,0.0,0.0,0.0,0.0
1847A,0.0,0.0,0.0,0.0,0.0,0.0
1849A,1.0,0.0,0.0,0.0,0.0,0.0
1850A,1.0,0.0,0.0,0.0,0.0,0.0
1850B,1.0,0.0,0.0,0.0,0.0,0.0
1850C,0.0,0.0,0.0,0.0,0.0,0.0
1851A,0.0,0.0,0.0,0.0,0.0,0.0
1851B,0.0,0.0,0.0,0.0,0.0,0.0
1853A,0.0,0.0,0.0,0.0,0.0,0.0
1855A,0.0,0.0,0.0,0.0,0.0,0.0
1856A,0.0,0.0,0.0,0.0,0.0,0.0
1857A,0.0,0.0,0.0,0.0,0.0,0.0
1858A,0.0,0.0,0.0,0.0,0.0,0.0
1859A,0.0,0.0,0.0,0.0,0.0,0.0
1861A,0.0,0.0,0.0,0.0,0.0,0.0
1862A,0.0,0.0,0.0,0.0,0.0,0.0
1862B,0.0,0.0,0.0,0.0,0.0,0.0
1863A,0.0,0.0,0.0,0.0,0.0,0.0
1864A,0.0,0.0,0.0,0.0,0.0,0.0
1866A,0.0,0.0,0.0,0.0,0.0,0.0
1867A,0.0,0.0,0.0,0.0,0.0,0.0
1870A,0.0,0.0,0.0,0.0,0.0,0.0
1872A,0.0,0.0,0.0,0.0,0.0,0.0
1873A,1.0,0.0,0.0,0.0,0.0,0.0
1873B,0.0,0.0,0.0,0.0,0.0,0.0
1873C,0.0,0.0,0.0,0.0,0.0,0.0
1873D,0.0,0.0,0.0,0.0,0.0,0.0
1877A,1.0,0.0,0.0,0.0,0.0,0.0
1878A,0.0,1.0,0.0,0.0,0.0,0.0
1878B,0.0,0.0,0.0,0.0,0.0,0.0
1879A,0.0,0.0,0.0,0.0,0.0,0.0
1881A,0.0,0.0,0.0,0.0,0.0,0.0
1882A,0.0,0.0,0.0,0.0,0.0,0.0
1883A,0.0,0.0,0.0,0.0,0.0,0.0
1884A,1.0,0.0,0.0,0.0,0.0,0.0
1886A,0.0,0.0,0.0,0.0,0.0,0.0
1890A,1.0,0.0,0.0,0.0,0.0,0.0
1890B,0.0,0.0,0.0,0.0,0.0,0.0
1891A,0.0,0.0,0.0,0.0,0.0,0.0
1894A,0.0,0.0,0.0,0.0,0.0,0.0
1895A,0.0,0.0,0.0,0.0,0.0,0.0
1895B,0.0,0.0,0.0,0.0,0.0,0.0
1898A,0.0,0.0,0.0,0.0,0.0,0.0
1899A,1.0,0.0,0.0,0.0,0.0,0.0
1901A,0.0,0.0,0.0,0.0,0.0,0.0
