problem_id,0,1,2,3,4,5
1700A,1.0,1.0,1.0,1.0,1.0,1.0
1701A,1.0,1.0,1.0,1.0,1.0,0.0
1701B,1.0,1.0,1.0,1.0,1.0,0.0
1702A,1.0,1.0,1.0,1.0,0.0,0.0
1702B,1.0,1.0,1.0,1.0,1.0,0.0
1703A,1.0,1.0,1.0,1.0,0.0,0.0
1703B,1.0,1.0,1.0,1.0,1.0,0.0
1703C,1.0,1.0,1.0,1.0,1.0,0.0
1704A,1.0,1.0,1.0,1.0,1.0,1.0
1705A,1.0,1.0,1.0,1.0,1.0,1.0
1706A,1.0,1.0,1.0,1.0,1.0,0.0
1708A,1.0,1.0,1.0,1.0,1.0,0.0
1709A,1.0,1.0,1.0,1.0,1.0,1.0
1711A,1.0,1.0,1.0,1.0,1.0,0.0
1712A,1.0,1.0,1.0,1.0,1.0,1.0
1712B,1.0,1.0,1.0,1.0,1.0,0.0
1713A,1.0,1.0,1.0,1.0,1.0,1.0
1714B,1.0,1.0,1.0,1.0,1.0,1.0
1714C,1.0,1.0,1.0,1.0,1.0,1.0
1715A,1.0,1.0,1.0,1.0,1.0,1.0
1716A,1.0,1.0,1.0,1.0,0.0,0.0
1716B,1.0,1.0,1.0,1.0,1.0,0.0
1717A,1.0,1.0,1.0,1.0,1.0,1.0
1719A,1.0,1.0,1.0,1.0,1.0,1.0
1719B,1.0,1.0,1.0,1.0,1.0,1.0
1720B,1.0,1.0,1.0,0.0,0.0,0.0
1721A,1.0,1.0,1.0,1.0,1.0,0.0
1722A,1.0,1.0,1.0,1.0,1.0,1.0
1722B,1.0,1.0,1.0,1.0,1.0,0.0
1722C,1.0,1.0,1.0,1.0,1.0,0.0
1725A,1.0,1.0,1.0,1.0,1.0,0.0
1728A,0.6666666666666666,1.0,1.0,0.0,0.0,0.0
1728B,1.0,1.0,1.0,1.0,1.0,0.0
1729A,1.0,1.0,1.0,1.0,1.0,0.0
1729B,1.0,1.0,1.0,1.0,1.0,1.0
1730A,1.0,1.0,1.0,1.0,1.0,1.0
1731A,1.0,1.0,1.0,1.0,1.0,1.0
1733A,1.0,1.0,1.0,1.0,1.0,1.0
1734A,1.0,1.0,1.0,1.0,1.0,0.0
1734B,1.0,1.0,1.0,1.0,1.0,0.0
1735A,1.0,1.0,1.0,1.0,1.0,1.0
1736A,1.0,1.0,1.0,1.0,1.0,1.0
1738A,1.0,1.0,1.0,1.0,1.0,1.0
1739A,0.5,1.0,1.0,1.0,1.0,1.0
1740A,1.0,1.0,1.0,1.0,1.0,0.0
1740B,1.0,1.0,1.0,1.0,1.0,1.0
1741A,1.0,1.0,0.5,1.0,1.0,0.0
1741B,1.0,1.0,1.0,1.0,1.0,0.0
1742A,1.0,1.0,1.0,1.0,1.0,0.0
1742B,1.0,1.0,1.0,0.0,1.0,1.0
1743A,1.0,1.0,1.0,1.0,1.0,0.0
1743B,1.0,1.0,1.0,1.0,1.0,1.0
1744A,1.0,1.0,1.0,1.0,0.0,0.0
1744B,1.0,1.0,1.0,1.0,1.0,0.0
1746A,1.0,1.0,1.0,1.0,1.0,0.0
1746B,1.0,1.0,1.0,1.0,1.0,1.0
1747A,1.0,1.0,1.0,1.0,1.0,1.0
1748A,1.0,1.0,1.0,1.0,1.0,0.0
1749A,1.0,1.0,1.0,1.0,1.0,1.0
1750A,1.0,1.0,1.0,1.0,1.0,0.0
1750B,1.0,1.0,1.0,1.0,1.0,0.0
1754A,1.0,1.0,1.0,1.0,1.0,0.0
1754B,1.0,1.0,1.0,1.0,1.0,1.0
1758A,1.0,1.0,1.0,1.0,1.0,1.0
1759A,1.0,1.0,1.0,1.0,0.0,0.0
1759B,1.0,1.0,1.0,1.0,1.0,1.0
1760A,1.0,1.0,1.0,1.0,1.0,1.0
1760B,1.0,1.0,1.0,1.0,1.0,1.0
1760C,1.0,1.0,1.0,1.0,1.0,1.0
1761A,1.0,1.0,1.0,1.0,0.0,0.0
1762A,1.0,1.0,1.0,1.0,1.0,1.0
1763A,1.0,1.0,1.0,1.0,1.0,0.0
1764A,1.0,1.0,1.0,0.5714285714285714,0.0,0.0
1765B,1.0,1.0,1.0,1.0,1.0,1.0
