,problem_id,dp,constraints,machine_techniques,human_techniques,machine_solutions,correctness,follow_constraints,new_techniques,new_techniques_ratio,convergent_score,divergent_score,neogauge_score
0,1901A,0,['this is the og problem'],['for loop'],"['f', 'o', 'r', ' ', 'i', 'n', 'a', 'g', 'e', '(', 't', 'p', 'u', ')', ':', '\r', '\n', 'm', ',', '=', '.', 's', 'l', '[', '0', ']', '+', ';', '-', '1', '*', '2', 'x', 'b', 'c', 'd', '_', 'y', 'z', '\t', 'v', '#', '<', '>', '{', 'T', 'w', 'h', '}', 'C', '""', '\\', '/', 'N', 'A', 'R', ""'"", '5', 'k', 'j']","import sys

def solve():
    n, x = map(int, input().split())
    a = list(map(int, input().split()))
    max_distance = max(a)
    max_distance_back = 2 * (x - max(a[-1])
    max_distance = max(max_distance, max_distance_back)
    for i in range(n - 1):
        max_distance = max(max_distance, a[i + 1] - a[i])
    print(max_distance)
",False,True,1,1.0,0.0,1.0,0.0
1,1901A,1,['for loop'],['for loop'],"['f', 'o', 'r', ' ', 'i', 'n', 'a', 'g', 'e', '(', 't', 'p', 'u', ')', ':', '\r', '\n', 'm', ',', '=', '.', 's', 'l', '[', '0', ']', '+', ';', '-', '1', '*', '2', 'x', 'b', 'c', 'd', '_', 'y', 'z', '\t', 'v', '#', '<', '>', '{', 'T', 'w', 'h', '}', 'C', '""', '\\', '/', 'N', 'A', 'R', ""'"", '5', 'k', 'j']","import sys

def solve():
    n, x = map(int, input().split())
    a = list(map(int, input().split()))
    a = [0] + a + [x] + [0]
    dp = [0] * (n + 2)
    for i in range(1, n + 2):
        dp[i] = max(dp[i - 1], a[i] - a[i - 1])
    return max(dp[-2], dp[-1])
",False,False,1,1.0,0.0,1.0,0.0
2,1901A,2,"['for loop', 'while loop']","['if statement', 'for loop', 'tuple']","['f', 'o', 'r', ' ', 'i', 'n', 'a', 'g', 'e', '(', 't', 'p', 'u', ')', ':', '\r', '\n', 'm', ',', '=', '.', 's', 'l', '[', '0', ']', '+', ';', '-', '1', '*', '2', 'x', 'b', 'c', 'd', '_', 'y', 'z', '\t', 'v', '#', '<', '>', '{', 'T', 'w', 'h', '}', 'C', '""', '\\', '/', 'N', 'A', 'R', ""'"", '5', 'k', 'j']","import sys

def solve():
    n, x = map(int, input().split())
    a = list(map(int, input().split()))
    a = [0] + a + [x] + [0]
    max_val = 0
    for i in range(1, n + 2):
        max_val = max(max_val, a[i] - a[i - 1])
    return max_val
",False,False,3,1.0,0.0,1.0,0.0
3,1901A,3,"['for loop', 'while loop', 'sorting']","['if statement', 'for loop']","['f', 'o', 'r', ' ', 'i', 'n', 'a', 'g', 'e', '(', 't', 'p', 'u', ')', ':', '\r', '\n', 'm', ',', '=', '.', 's', 'l', '[', '0', ']', '+', ';', '-', '1', '*', '2', 'x', 'b', 'c', 'd', '_', 'y', 'z', '\t', 'v', '#', '<', '>', '{', 'T', 'w', 'h', '}', 'C', '""', '\\', '/', 'N', 'A', 'R', ""'"", '5', 'k', 'j']","import sys

def solve():
    n, x = map(int, input().split())
    a = list(map(int, input().split()))
    max_val = 0
    for i in range(n):
        max_val = max(max_val, a[i] - (a[i-1] if i > 0 else 0))
    return max(max_val * 2, x)
",False,False,2,1.0,0.0,1.0,0.0
4,1899A,0,['this is the og problem'],"['if statement', 'for loop']","['f', 'o', 'r', ' ', '_', 'i', 'n', 'a', 'g', 'e', '(', 't', 'p', 'u', ')', ':', '\r', '\n', '=', ""'"", 'F', 's', '%', '3', 'l', 'S', 'c', 'd', '!', '0', '""', 'k', '[', '*', ']', '1', '>', '2', 'm', 'T', '\t', 'R', 'M', 'N', '#', 'x', 'v', 'h', 'b', 'j', '.', '|', 'w', '-', 'D']","import sys

def solve():
    t = int(input())
    for _ in range(t):
        n = int(input())
        if n % 3 == 0:
            print(""Second"")
        else:
            print(""First"")
",True,True,2,1.0,1.0,1.0,1.0
5,1899A,1,['for loop'],"['if statement', 'for loop']","['f', 'o', 'r', ' ', '_', 'i', 'n', 'a', 'g', 'e', '(', 't', 'p', 'u', ')', ':', '\r', '\n', '=', ""'"", 'F', 's', '%', '3', 'l', 'S', 'c', 'd', '!', '0', '""', 'k', '[', '*', ']', '1', '>', '2', 'm', 'T', '\t', 'R', 'M', 'N', '#', 'x', 'v', 'h', 'b', 'j', '.', '|', 'w', '-', 'D']","import sys

def solve():
    t = int(input())
    for _ in range(t):
        n = int(input())
        if n % 3 == 0:
            print(""First"")
        elif n % 3 == 1:
            print(""First"")
        else:
            print(""Second"")
",False,False,2,1.0,0.0,1.0,0.0
6,1899A,2,"['for loop', 'while loop']","['for loop', 'if statement']","['f', 'o', 'r', ' ', '_', 'i', 'n', 'a', 'g', 'e', '(', 't', 'p', 'u', ')', ':', '\r', '\n', '=', ""'"", 'F', 's', '%', '3', 'l', 'S', 'c', 'd', '!', '0', '""', 'k', '[', '*', ']', '1', '>', '2', 'm', 'T', '\t', 'R', 'M', 'N', '#', 'x', 'v', 'h', 'b', 'j', '.', '|', 'w', '-', 'D']","import sys

def solve():
    t = int(input())
    for _ in range(t):
        n = int(input())
        if n % 3 == 0:
            print(""Second"")
        elif n % 3 == 1:
            print(""First"")
        else:
            print(""First"")
",True,False,2,1.0,0.0,1.0,0.0
7,1899A,3,"['for loop', 'while loop', 'if statement']","['if statement', 'for loop']","['f', 'o', 'r', ' ', '_', 'i', 'n', 'a', 'g', 'e', '(', 't', 'p', 'u', ')', ':', '\r', '\n', '=', ""'"", 'F', 's', '%', '3', 'l', 'S', 'c', 'd', '!', '0', '""', 'k', '[', '*', ']', '1', '>', '2', 'm', 'T', '\t', 'R', 'M', 'N', '#', 'x', 'v', 'h', 'b', 'j', '.', '|', 'w', '-', 'D']","import sys

def solve():
    t = int(input())
    for _ in range(t):
        n = int(input())
        if n % 3 == 0:
            print(""First"")
        elif n % 3 == 1:
            print(""First"")
        else:
            print(""Second"")
",False,False,2,1.0,0.0,1.0,0.0
8,1899A,4,"['for loop', 'while loop', 'if statement', 'tuple']","['if statement', 'for loop']","['f', 'o', 'r', ' ', '_', 'i', 'n', 'a', 'g', 'e', '(', 't', 'p', 'u', ')', ':', '\r', '\n', '=', ""'"", 'F', 's', '%', '3', 'l', 'S', 'c', 'd', '!', '0', '""', 'k', '[', '*', ']', '1', '>', '2', 'm', 'T', '\t', 'R', 'M', 'N', '#', 'x', 'v', 'h', 'b', 'j', '.', '|', 'w', '-', 'D']","import sys

def solve():
    t = int(input())
    for _ in range(t):
        n = int(input())
        if n % 3 == 0:
            print(""Second"")
        else:
            print(""First"")
",True,False,2,1.0,0.0,1.0,0.0
9,1898A,0,['this is the og problem'],['for loop'],"['n', ' ', '=', 'i', 't', '(', 'p', 'u', ')', '\r', '\n', 'f', 'o', 'r', 'a', 'g', 'e', ':', ',', 'b', 'm', '.', 's', 'l', 'c', 'A', '[', ']', 'B', '""', 'd', '0', '<', '1', '-', '+', '#', '/', 'h', '>', ';', '{', '\t', 'w', 'k', ""'"", '}', '?', '2', '_', '!', 'v', 'N', '%', '&', '\\', 'C', 'j', 'T', 'x', 'y', 'z', 'q']","import sys

def solve():
    n, k = map(int, input().split())
    s = input()
    b_count = s.count('B')
    if b_count == k:
        print(0)
        return
    if b_count > k:
        print(n - k)
        for i in range(n - k):
            print(i + 1, 'A')
        return
    print(n - b_count + 1)
    print(1, 'B')
    for i in range(n - b_count):
        print(i + 2, 'A')
",False,True,1,1.0,0.0,1.0,0.0
